SECURITY_ID,INSTRUMENT,UNDERLYING_SYMBOL,SYMBOL_NAME,DISPLAY_NAME,LOT_SIZE,SM_EXPIRY_DATE,STRIKE_PRICE,OPTION_TYPE
39796,OPTIDX,NIFTY,NIFTY-Aug2026-29600-CE,NIFTY 04 AUG 29600 CALL,65.0,2026-08-04,29600.0,CE
39797,OPTIDX,NIFTY,NIFTY-Aug2026-29600-PE,NIFTY 04 AUG 29600 PUT,65.0,2026-08-04,29600.0,PE
39800,OPTIDX,NIFTY,NIFTY-Aug2026-29650-CE,NIFTY 04 AUG 29650 CALL,65.0,2026-08-04,29650.0,CE
39801,OPTIDX,NIFTY,NIFTY-Aug2026-29650-PE,NIFTY 04 AUG 29650 PUT,65.0,2026-08-04,29650.0,PE
39802,OPTIDX,NIFTY,NIFTY-Aug2026-29700-CE,NIFTY 04 AUG 29700 CALL,65.0,2026-08-04,29700.0,CE
39803,OPTIDX,NIFTY,NIFTY-Aug2026-29700-PE,NIFTY 04 AUG 29700 PUT,65.0,2026-08-04,29700.0,PE
39808,OPTIDX,NIFTY,NIFTY-Aug2026-29550-CE,NIFTY 25 AUG 29550 CALL,65.0,2026-08-25,29550.0,CE
39809,OPTIDX,NIFTY,NIFTY-Aug2026-29550-PE,NIFTY 25 AUG 29550 PUT,65.0,2026-08-25,29550.0,PE
39812,OPTIDX,NIFTY,NIFTY-Aug2026-29600-CE,NIFTY 25 AUG 29600 CALL,65.0,2026-08-25,29600.0,CE
39813,OPTIDX,NIFTY,NIFTY-Aug2026-29600-PE,NIFTY 25 AUG 29600 PUT,65.0,2026-08-25,29600.0,PE
39814,OPTIDX,NIFTY,NIFTY-Aug2026-29650-CE,NIFTY 25 AUG 29650 CALL,65.0,2026-08-25,29650.0,CE
39815,OPTIDX,NIFTY,NIFTY-Aug2026-29650-PE,NIFTY 25 AUG 29650 PUT,65.0,2026-08-25,29650.0,PE
39816,OPTIDX,NIFTY,NIFTY-Aug2026-29700-CE,NIFTY 25 AUG 29700 CALL,65.0,2026-08-25,29700.0,CE
39817,OPTIDX,NIFTY,NIFTY-Aug2026-29700-PE,NIFTY 25 AUG 29700 PUT,65.0,2026-08-25,29700.0,PE
39818,OPTIDX,NIFTY,NIFTY-Sep2026-29550-CE,NIFTY 29 SEP 29550 CALL,65.0,2026-09-29,29550.0,CE
39819,OPTIDX,NIFTY,NIFTY-Sep2026-29550-PE,NIFTY 29 SEP 29550 PUT,65.0,2026-09-29,29550.0,PE
39820,OPTIDX,NIFTY,NIFTY-Sep2026-29600-CE,NIFTY 29 SEP 29600 CALL,65.0,2026-09-29,29600.0,CE
39821,OPTIDX,NIFTY,NIFTY-Sep2026-29600-PE,NIFTY 29 SEP 29600 PUT,65.0,2026-09-29,29600.0,PE
39823,OPTIDX,NIFTY,NIFTY-Sep2026-29650-CE,NIFTY 29 SEP 29650 CALL,65.0,2026-09-29,29650.0,CE
39824,OPTIDX,NIFTY,NIFTY-Sep2026-29650-PE,NIFTY 29 SEP 29650 PUT,65.0,2026-09-29,29650.0,PE
39825,OPTIDX,NIFTY,NIFTY-Sep2026-29700-CE,NIFTY 29 SEP 29700 CALL,65.0,2026-09-29,29700.0,CE
39827,OPTIDX,NIFTY,NIFTY-Sep2026-29700-PE,NIFTY 29 SEP 29700 PUT,65.0,2026-09-29,29700.0,PE
40729,OPTIDX,NIFTY,NIFTY-Aug2026-19150-CE,NIFTY 11 AUG 19150 CALL,65.0,2026-08-11,19150.0,CE
40730,OPTIDX,NIFTY,NIFTY-Aug2026-19150-PE,NIFTY 11 AUG 19150 PUT,65.0,2026-08-11,19150.0,PE
